Customer_ID,First_Name,Last_Name,Gender,Age,Country,City,Email,Phone_Number,Customer_Segment,Annual_Income_USD,Account_Creation_Date,Total_Purchases,Avg_Purchase_Value_USD,Last_Purchase_Date,Customer_Satisfaction_Score,Support_Tickets_Raised,Support_Tickets_Resolved,Email_Open_Rate,Churn
CUST_0001,Robert,Bell,Male,64,Finland,Kimberlyborough,spreston@example.com,+1-540-389-6816x508,Retail,46917,2022-07-13,7,665.66,2025-04-29,4,2,2,1.0,Yes
CUST_0002,Amy,Mcconnell,Female,29,United States Virgin Islands,East Michelle,mwilliams@example.net,001-535-473-6940x576,Corporate,42736,2021-06-20,13,1593.16,2025-07-07,3,2,1,0.4,Yes
CUST_0003,Jason,Brown,Female,33,Niue,New Laurenport,riggscolleen@example.org,2772043807,SME,47990,2022-04-20,15,1377.09,2025-09-15,2,2,2,0.64,Yes
CUST_0004,Brandon,Roberts,Female,41,Isle of Man,New Teresaburgh,joanne39@example.com,+1-908-341-8583x4350,Corporate,82551,2023-11-02,9,634.13,2024-10-29,5,1,1,0.89,No
CUST_0005,Tracy,Cruz,Male,36,Liberia,Amberberg,matthew12@example.net,(537)267-9227,Corporate,78161,2025-01-27,9,942.6,2024-11-05,5,3,2,0.42,Yes
CUST_0006,Lisa,Estes,Male,25,Saint Vincent and the Grenadines,East Pamela,dudleyjose@example.net,(819)489-5819,Retail,99623,2022-09-16,7,236.34,2024-10-10,2,3,0,0.77,No
CUST_0007,Cody,Austin,Male,48,Colombia,Billside,nstewart@example.com,+1-398-903-3162x828,Retail,42440,2022-01-10,11,1801.39,2025-06-16,2,1,1,0.97,No
CUST_0008,Lawrence,Lang,Female,38,Israel,East Ashleymouth,jnguyen@example.org,9895679680,Corporate,55205,2023-05-16,9,1874.08,2025-05-16,2,4,2,0.36,No
CUST_0009,Patricia,Collins,Female,34,Paraguay,Davismouth,sjohnston@example.org,(471)349-0100,Enterprise,141156,2022-08-09,8,1960.62,2024-12-03,2,4,2,0.41,Yes
CUST_0010,Diana,Howard,Female,40,Ecuador,North Rebeccafurt,ecoleman@example.net,+1-216-539-0810,Corporate,100811,2024-01-10,9,1743.68,2025-07-17,1,2,2,0.91,No
CUST_0011,Cristina,Hill,Male,54,Brunei Darussalam,South Kellyland,susan50@example.org,7775181097,Corporate,143768,2021-11-13,8,389.22,2025-02-18,5,2,2,0.16,No
CUST_0012,Pamela,Martinez,Other,33,Marshall Islands,East Oliviaborough,jessicathomas@example.com,(242)888-5973,SME,75103,2022-07-13,9,140.08,2025-03-05,1,5,1,0.03,Yes
CUST_0013,Jennifer,Clark,Female,23,Solomon Islands,Brewerside,jonesjohn@example.org,564.246.9389x1382,Corporate,90812,2021-07-21,13,1180.21,2025-05-20,4,2,2,0.91,No
CUST_0014,Steven,Ward,Male,25,Luxembourg,Cameronhaven,melissa28@example.org,850.718.0611x723,Retail,61627,2023-01-31,14,1829.58,2025-06-18,4,5,1,0.82,No
CUST_0015,Greg,Barnes,Male,42,Iceland,Port William,david95@example.com,001-328-415-5815x1059,Corporate,126122,2021-12-12,13,395.84,2025-06-29,5,3,3,0.97,No
CUST_0016,Tabitha,Davis,Male,35,Rwanda,New Crystalmouth,kkelly@example.com,+1-313-283-7261x1866,Enterprise,123032,2022-11-22,14,63.73,2025-01-24,4,3,1,0.06,No
CUST_0017,Amy,Vargas,Male,42,Saint Helena,Jenniferfort,joshua70@example.net,(919)861-7968x868,Retail,39008,2021-10-29,14,1620.72,2025-08-15,2,1,1,0.16,No
CUST_0018,Willie,Cooper,Female,29,French Southern Territories,Starkmouth,zachary06@example.net,440-618-6242,Corporate,91274,2021-03-13,10,199.75,2024-12-21,1,3,2,0.11,No
CUST_0019,Olivia,Wallace,Male,32,Andorra,Tranborough,tracy43@example.net,001-991-434-7288x805,Retail,52402,2021-04-19,13,856.73,2025-04-12,2,0,0,0.68,No
